file;found;points;x;y;z;r
"PhoFrame(0003).ply";Y;2292;29.5975;14.8242;681.291;20.2559
"PhoFrame(0002).ply";Y;2748;-127.66;10.1173;710.454;20.2029
"PhoFrame(0006).ply";Y;2732;167.493;-85.7606;652.929;20.2935
"PhoFrame(0007).ply";Y;2956;170.417;-197.055;650.452;20.2861
"PhoFrame(0001).ply";Y;3012;-122.827;-170.521;706.677;20.3517
"PhoFrame(0008).ply";Y;2728;-7.79071;-184.254;679.652;20.1222
"PhoFrame(0005).ply";Y;2555;168.917;8.86532;654.183;20.3445
"PhoFrame(0009).ply";Y;2384;21.7495;-96.4661;702.727;20.2413
"PhoFrame(0000).ply";Y;2009;180.335;-90.818;735.674;20.2281
"PhoFrame(0004).ply";Y;2087;175.702;19.3276;654.614;20.2183
"PhoFrame(00010).ply";Y;2795;-54.4977;-70.1152;776.216;20.2156
